926
int,int,int,int,int,float,float,float
0,0,1,1,0,0.000,0.000,0.300
5,0,1,1,0,0.200,-0.800,1.500
0,1,1,1,1,0.103,0.681,0.332
5,1,1,1,1,0.144,-0.547,1.126
0,1,1,1,2,-0.295,0.438,0.584
0,1,1,1,3,0.066,-0.156,0.143
0,1,1,1,5,0.639,-0.630,0.264
0,1,1,1,6,-0.688,1.757,0.477
5,1,1,1,6,0.000,0.000,0.054
0,1,1,1,8,-1.420,-0.092,1.101
5,1,1,1,8,0.000,-0.158,0.323
0,1,1,1,11,0.593,0.662,1.120
0,1,1,1,12,-0.678,0.417,0.624
0,1,1,1,15,-0.714,0.698,0.000
0,1,1,1,34,-0.647,0.550,0.590
0,2,1,1,5,0.321,-0.411,0.144
0,3,1,1,3,0.443,0.000,-1.140
0,3,1,1,5,-0.256,0.058,0.000
0,3,1,1,6,-0.679,-0.029,0.000
0,5,1,1,5,0.284,-1.386,0.314
0,5,1,1,6,-0.654,1.072,0.279
0,5,1,1,8,-0.744,-1.235,0.337
0,5,1,1,10,0.000,0.000,0.418
0,5,1,1,11,0.000,0.516,0.291
0,5,1,1,12,0.678,-0.602,0.398
0,5,1,1,15,1.142,-0.644,0.367
0,5,1,1,25,0.000,0.000,0.295
0,5,1,1,34,0.692,-0.530,0.278
0,5,1,1,37,0.000,0.000,0.389
0,5,1,1,39,0.000,0.000,0.278
0,5,1,1,41,0.000,0.000,-0.141
0,5,1,1,56,0.000,0.000,0.324
0,5,1,1,68,0.000,0.000,0.136
0,6,1,1,6,0.408,1.397,0.961
5,6,1,1,6,0.313,-1.035,1.631
0,8,1,1,8,1.055,0.834,0.000
0,11,1,1,11,-0.387,-0.543,1.405
0,12,1,1,12,0.000,0.000,0.893
0,15,1,1,15,-0.177,0.000,0.049
0,0,1,2,0,0.000,0.000,0.000
2,0,1,2,0,0.000,0.000,0.000
5,0,1,2,0,0.000,0.000,0.000
0,0,1,2,2,0.000,0.000,-0.650
5,0,1,2,2,0.000,0.000,-0.650
0,1,1,2,1,0.419,0.296,0.282
0,1,1,2,2,-0.494,0.274,-0.630
0,1,1,2,5,0.075,0.000,0.358
0,2,1,2,2,-0.293,0.115,-0.508
0,2,1,2,5,0.301,0.104,0.507
0,3,1,2,1,0.565,-0.554,0.234
0,3,1,2,2,-0.577,-0.482,-0.427
0,3,1,2,5,0.082,0.000,0.123
0,5,1,2,1,0.000,-0.184,0.220
0,5,1,2,2,0.501,-0.410,-0.535
2,5,1,2,2,0.000,0.000,0.055
2,5,1,2,3,0.000,0.000,-0.108
0,5,1,2,5,-0.523,-0.228,0.208
2,5,1,2,37,0.000,0.000,0.000
0,6,1,2,1,-0.467,0.000,0.490
0,6,1,2,2,0.425,0.168,-0.875
0,6,1,2,5,0.000,0.136,0.396
0,8,1,2,1,-0.504,0.371,0.557
0,8,1,2,2,0.541,0.539,-1.009
0,8,1,2,5,0.000,0.204,0.464
0,0,1,3,0,0.000,0.400,0.300
2,0,1,3,0,0.000,0.500,0.350
5,0,1,3,0,0.000,0.000,0.000
0,0,1,3,1,0.000,0.000,0.550
0,0,1,3,5,0.000,0.200,0.700
0,0,1,3,7,0.000,0.400,0.400
0,1,1,3,1,0.103,0.177,0.545
0,1,1,3,5,-0.072,0.316,0.674
0,1,1,3,6,-0.117,-0.333,0.202
0,1,1,3,7,0.825,0.139,0.325
0,1,1,3,10,-0.763,1.244,0.986
0,2,1,3,5,0.663,-0.167,0.426
0,2,1,3,7,-0.758,0.112,0.563
0,5,1,3,1,-0.073,0.085,0.531
2,5,1,3,2,0.000,0.000,0.115
2,5,1,3,3,0.000,0.000,0.446
0,5,1,3,5,-0.822,0.501,1.008
0,5,1,3,6,0.000,-0.624,0.330
0,5,1,3,7,0.659,-1.407,0.308
0,5,1,3,10,-0.687,1.244,0.136
2,5,1,3,37,0.000,0.000,0.056
0,5,1,3,43,0.000,1.027,0.360
0,5,1,3,51,0.000,1.543,0.350
0,5,1,3,53,0.000,0.501,0.000
0,5,1,3,74,0.000,0.513,-0.344
0,5,1,3,75,0.000,0.511,-0.186
0,6,1,3,6,0.447,0.652,0.318
0,6,1,3,7,-0.395,0.730,-0.139
0,10,1,3,7,0.530,2.905,2.756
0,10,1,3,10,0.465,-0.241,1.850
0,0,1,4,0,0.000,0.000,0.000
0,0,1,6,0,0.000,0.000,0.200
5,0,1,6,0,0.000,-0.200,0.400
0,1,1,6,1,-0.681,0.755,0.755
5,1,1,6,1,0.000,0.243,-0.596
0,1,1,6,3,-0.547,0.000,0.320
0,1,1,6,21,0.000,0.270,0.237
0,2,1,6,21,0.102,0.460,-0.128
0,3,1,6,21,-1.652,-1.660,0.283
0,5,1,6,1,0.571,0.319,0.570
0,5,1,6,2,0.000,0.000,0.306
0,5,1,6,3,0.572,0.000,-0.304
0,5,1,6,21,0.596,-0.276,0.346
0,5,1,6,25,0.000,0.000,0.061
0,5,1,6,37,0.000,0.000,0.106
0,5,1,6,45,0.000,0.000,-0.174
0,6,1,6,1,0.229,-0.710,0.722
5,6,1,6,1,0.000,0.000,0.040
0,6,1,6,21,1.488,-3.401,-0.320
0,37,1,6,21,0.712,1.320,-0.507
0,0,1,8,0,0.000,-0.300,0.500
5,0,1,8,0,0.000,0.000,0.297
0,1,1,8,1,-0.439,0.786,0.272
5,1,1,8,1,0.115,-0.390,0.658
0,1,1,8,6,-0.608,0.339,1.496
0,1,1,8,23,-0.428,0.323,0.280
0,2,1,8,23,0.594,-0.409,0.155
0,5,1,8,1,0.393,-0.385,0.562
0,5,1,8,6,0.598,-0.158,0.399
0,5,1,8,23,-0.152,-0.440,0.357
0,0,1,9,0,0.000,0.000,0.000
