2342
int,int,int,int,float,float
0,0,1,0,0.000,108.900
0,1,1,1,0.851,109.608
0,1,1,2,0.736,109.445
0,1,1,3,0.777,107.517
0,1,1,4,1.006,110.265
0,1,1,5,0.636,110.549
0,1,1,6,0.992,108.133
0,1,1,8,0.777,108.290
0,1,1,9,1.136,108.194
0,1,1,10,1.050,109.960
0,1,1,11,1.225,108.313
0,1,1,12,1.056,108.679
0,1,1,13,1.078,106.820
0,1,1,14,0.980,109.945
0,1,1,15,0.743,107.397
0,1,1,17,1.089,108.578
0,1,1,18,1.093,109.315
0,1,1,19,0.755,115.436
0,1,1,20,1.021,108.659
0,1,1,22,1.001,110.125
0,1,1,25,0.803,112.356
0,1,1,26,0.833,109.879
0,1,1,34,1.179,106.493
0,1,1,37,0.756,108.617
0,1,1,39,0.927,109.170
0,1,1,40,1.130,108.678
0,1,1,41,0.330,98.422
0,1,1,43,1.135,108.019
0,1,1,45,1.197,105.028
0,1,1,54,1.173,106.424
0,1,1,55,1.150,107.604
0,1,1,56,1.199,110.371
0,1,1,57,1.012,109.900
0,1,1,58,1.179,106.327
0,1,1,61,1.125,109.311
0,1,1,63,1.006,110.058
0,1,1,64,0.988,111.064
0,1,1,67,1.216,104.557
0,1,1,68,1.018,107.195
0,1,1,73,1.160,104.658
0,1,1,78,1.012,109.850
0,1,1,80,0.947,113.327
0,1,1,81,1.108,109.837
0,2,1,2,1.113,111.453
0,2,1,3,0.667,104.829
0,2,1,4,1.022,109.873
0,2,1,5,0.632,110.292
0,2,1,6,1.074,108.699
0,2,1,8,0.884,111.553
0,2,1,9,1.118,109.577
0,2,1,10,1.160,107.963
0,2,1,11,1.192,110.419
0,2,1,12,1.070,109.410
0,2,1,15,1.078,109.560
0,2,1,17,1.077,109.434
0,2,1,18,1.188,105.110
0,2,1,20,1.053,107.448
0,2,1,22,0.942,114.020
0,2,1,25,0.893,106.815
0,2,1,26,1.029,99.065
0,2,1,34,1.066,111.817
0,2,1,37,0.985,111.446
0,2,1,39,1.124,109.513
0,2,1,40,1.149,108.270
0,2,1,45,1.232,103.978
0,2,1,63,0.935,114.692
0,2,1,67,1.224,104.687
0,3,1,3,0.974,111.746
0,3,1,4,1.019,109.850
0,3,1,5,0.650,108.385
0,3,1,6,0.528,104.112
0,3,1,8,1.197,105.837
0,3,1,9,1.201,105.535
0,3,1,10,0.634,102.655
0,3,1,11,1.189,110.328
0,3,1,12,1.136,106.064
0,3,1,13,1.147,103.645
0,3,1,14,1.048,106.404
0,3,1,15,1.125,107.192
0,3,1,17,1.092,108.602
0,3,1,18,1.120,108.119
0,3,1,20,0.969,111.830
0,3,1,22,0.999,110.522
0,3,1,26,0.742,116.555
0,3,1,34,1.141,107.871
0,3,1,37,1.011,109.833
0,3,1,39,1.136,108.751
0,3,1,40,1.174,106.941
0,3,1,41,1.033,108.216
0,3,1,45,1.221,104.281
0,3,1,63,1.069,107.077
0,3,1,64,1.028,109.186
0,3,1,81,1.167,107.327
0,4,1,4,0.954,114.186
0,4,1,5,0.615,111.417
0,4,1,6,1.273,109.977
0,4,1,8,1.099,111.063
0,4,1,9,1.187,106.750
0,4,1,10,1.117,110.488
0,4,1,13,1.021,110.047
0,4,1,15,1.028,112.432
0,4,1,18,1.187,105.351
0,4,1,22,1.174,102.556
0,4,1,26,0.853,108.999
0,4,1,34,1.148,108.160
0,4,1,37,0.993,111.424
0,5,1,5,0.516,108.836
0,5,1,6,0.781,108.577
0,5,1,8,0.653,110.297
0,5,1,9,0.733,109.894
0,5,1,10,0.740,107.646
0,5,1,11,0.875,107.897
0,5,1,12,0.698,108.162
0,5,1,13,0.613,106.049
0,5,1,14,0.508,113.019
0,5,1,15,0.576,109.609
0,5,1,17,0.634,107.944
0,5,1,18,0.663,106.855
0,5,1,19,0.450,113.195
0,5,1,20,0.706,111.000
0,5,1,22,0.618,110.380
0,5,1,25,0.487,109.486
0,5,1,26,0.466,111.172
0,5,1,34,0.872,106.224
0,5,1,35,0.644,125.663
0,5,1,37,0.627,109.491
0,5,1,39,0.811,106.299
0,5,1,40,0.719,109.870
0,5,1,41,0.525,108.904
0,5,1,43,0.692,109.083
0,5,1,45,0.741,105.197
0,5,1,46,0.719,106.735
0,5,1,54,0.874,106.973
0,5,1,55,0.861,108.507
0,5,1,56,0.814,108.223
0,5,1,57,0.626,110.420
0,5,1,58,0.750,105.481
0,5,1,61,0.710,109.227
0,5,1,62,0.655,113.035
0,5,1,63,0.621,110.467
0,5,1,64,0.622,110.457
0,5,1,67,0.732,106.474
0,5,1,68,0.748,103.817
0,5,1,72,0.547,116.576
0,5,1,73,0.633,107.153
0,5,1,78,0.640,109.078
0,5,1,80,0.684,105.144
0,5,1,81,0.721,107.870
0,6,1,6,1.156,111.368
0,6,1,8,1.333,112.223
0,6,1,9,1.224,116.950
0,6,1,10,1.432,108.568
0,6,1,11,1.593,106.900
0,6,1,15,1.273,112.012
0,6,1,17,1.348,108.655
0,6,1,19,0.906,117.214
0,6,1,20,1.293,108.202
0,6,1,22,1.287,108.913
0,6,1,25,1.171,103.598
0,6,1,26,0.888,118.433
0,6,1,34,1.257,114.975
0,6,1,37,0.878,107.978
0,6,1,39,1.485,106.464
0,6,1,40,1.371,110.779
0,6,1,41,1.333,106.467
0,6,1,45,1.523,104.438
0,6,1,57,1.308,108.467
0,6,1,63,1.351,106.535
0,6,1,64,1.238,111.308
0,8,1,8,1.203,110.856
0,8,1,9,1.133,114.080
0,8,1,10,1.258,108.683
0,8,1,12,1.217,107.251
0,8,1,15,1.120,112.356
0,8,1,20,1.116,109.353
0,8,1,25,1.143,98.698
0,8,1,34,1.138,113.412
0,8,1,37,1.090,110.992
0,8,1,39,1.364,104.193
0,8,1,40,0.964,123.962
0,8,1,41,1.234,103.868
0,8,1,43,1.137,113.596
0,8,1,45,1.583,96.139
0,8,1,57,1.038,114.266
0,8,1,63,1.104,110.598
0,8,1,64,1.156,108.127
0,9,1,10,1.209,110.720
0,9,1,12,1.173,109.152
0,9,1,15,1.024,117.465
0,9,1,25,1.060,102.432
0,9,1,37,1.077,111.565
0,9,1,40,1.084,116.728
0,9,1,80,1.163,107.509
0,10,1,10,1.191,111.995
0,10,1,15,1.161,110.502
0,10,1,17,1.269,105.509
0,10,1,20,1.220,104.838
0,10,1,22,1.132,109.262
0,10,1,25,1.015,104.822
0,10,1,37,1.107,110.423
0,10,1,40,1.264,108.536
0,10,1,41,1.087,110.961
0,10,1,57,1.268,103.622
0,11,1,11,1.638,106.081
0,11,1,15,1.254,109.517
0,11,1,20,1.243,107.637
0,11,1,25,1.244,97.532
0,11,1,34,1.338,108.669
0,11,1,35,1.556,110.367
0,11,1,37,1.151,112.278
0,11,1,41,1.301,105.053
0,11,1,45,1.550,100.991
0,11,1,73,1.303,106.569
0,11,1,75,0.884,114.378
0,12,1,12,1.096,110.422
0,12,1,15,1.146,111.064
0,12,1,18,1.299,104.827
0,12,1,19,0.932,108.971
0,12,1,20,1.081,108.605
0,12,1,22,1.097,108.028
0,12,1,25,0.989,106.118
0,12,1,37,1.076,109.030
0,12,1,39,1.150,110.359
0,12,1,45,1.353,101.430
0,12,1,63,1.071,109.474
0,12,1,64,1.093,108.338
0,13,1,13,1.093,111.645
0,13,1,20,1.084,106.534
0,13,1,22,1.068,107.469
0,13,1,45,1.305,101.383
0,14,1,20,1.021,107.718
0,15,1,15,1.147,111.896
0,15,1,25,1.059,103.308
0,15,1,34,1.222,107.318
0,15,1,37,1.051,110.959
0,15,1,40,1.149,111.005
0,15,1,41,1.263,100.981
0,15,1,63,1.060,110.596
0,15,1,64,1.059,110.703
0,15,1,73,1.289,105.029
0,17,1,37,1.065,110.049
0,18,1,20,1.121,107.960
0,18,1,22,1.283,101.125
0,18,1,37,1.203,104.390
0,18,1,45,1.287,105.273
0,18,1,64,1.093,109.683
0,19,1,54,0.772,119.506
0,20,1,20,1.229,99.084
0,20,1,37,1.052,107.428
0,20,1,45,1.169,106.335
0,22,1,22,0.990,111.226
0,22,1,25,0.885,107.293
0,22,1,34,1.045,112.940
0,22,1,37,1.037,108.586
0,22,1,45,1.182,106.181
0,25,1,25,0.551,127.138
0,25,1,34,0.779,119.271
0,25,1,37,0.784,113.945
0,25,1,40,1.062,102.417
0,25,1,58,0.916,110.234
0,26,1,26,0.625,118.700
0,34,1,34,1.216,109.167
0,34,1,37,1.075,111.275
0,34,1,41,1.048,112.238
0,34,1,63,1.077,111.412
0,34,1,73,1.142,110.240
0,37,1,37,0.986,111.315
0,37,1,40,1.129,109.188
0,37,1,43,1.074,111.478
0,37,1,45,1.259,102.800
0,37,1,57,0.981,112.047
0,37,1,64,1.175,102.239
0,37,1,68,1.100,109.983
0,37,1,78,1.005,110.638
0,37,1,81,1.176,107.040
0,39,1,39,1.260,108.547
0,40,1,40,1.182,112.005
0,40,1,55,1.322,105.786
0,40,1,63,1.032,114.505
0,40,1,64,1.000,116.376
0,41,1,41,1.082,105.400
0,41,1,63,1.061,107.112
0,41,1,81,1.093,110.553
0,45,1,45,1.391,102.088
0,0,2,0,0.000,119.400
1,0,2,0,0.000,118.200
2,0,2,0,0.000,120.800
3,0,2,0,0.000,62.600
6,0,2,0,0.000,60.500
0,1,2,1,0.752,118.043
0,1,2,2,0.672,122.141
1,1,2,2,0.684,116.929
1,1,2,3,0.698,116.104
0,1,2,4,0.828,125.045
1,1,2,4,0.846,121.613
0,1,2,5,0.446,120.108
0,1,2,6,1.160,115.518
0,1,2,10,1.015,116.707
0,1,2,12,0.983,115.343
0,1,2,13,0.964,115.395
0,1,2,15,0.939,119.465
0,1,2,17,0.883,121.868
0,1,2,18,0.961,117.918
0,1,2,20,0.880,118.310
0,1,2,22,0.873,119.114
0,1,2,30,0.826,124.605
1,1,2,37,0.721,116.064
0,1,2,40,0.982,118.515
0,1,2,45,1.121,109.921
0,1,2,56,1.006,117.192
1,1,2,63,0.768,127.945
1,1,2,64,0.966,113.884
1,1,2,67,1.115,110.185
1,2,2,2,0.747,121.550
2,2,2,2,0.796,126.284
6,2,2,2,0.173,60.549
1,2,2,3,0.545,111.297
2,2,2,3,0.893,118.456
5,2,2,3,0.184,59.145
1,2,2,4,0.902,121.053
2,2,2,4,0.889,119.794
0,2,2,5,0.535,121.004
1,2,2,5,0.463,118.442
0,2,2,6,1.117,121.267
1,2,2,6,1.204,114.538
1,2,2,9,0.960,123.536
2,2,2,9,1.045,116.273
0,2,2,10,1.003,120.828
1,2,2,10,1.026,117.324
0,2,2,11,1.089,119.100
1,2,2,11,1.090,116.828
0,2,2,12,0.931,120.132
1,2,2,12,0.957,117.526
0,2,2,13,0.867,122.717
0,2,2,14,0.818,122.584
1,2,2,14,0.819,122.344
0,2,2,15,0.931,121.553
1,2,2,15,0.949,119.466
0,2,2,17,0.977,117.167
0,2,2,18,1.044,114.561
0,2,2,19,0.668,124.721
0,2,2,20,0.931,117.784
0,2,2,22,0.809,126.820
3,2,2,22,0.149,66.165
0,2,2,25,0.700,123.830
0,2,2,34,1.066,116.151
0,2,2,35,0.911,137.103
