498
int,int,int,float
0,1,1,0.0000
0,1,2,-0.1382
0,1,3,-0.0610
0,1,4,-0.2000
0,1,5,0.0000
0,1,6,-0.2800
0,1,8,-0.2700
0,1,9,-0.2460
0,1,10,-0.3001
0,1,11,-0.3400
0,1,12,-0.2900
0,1,13,-0.2300
0,1,14,-0.1900
0,1,15,-0.2300
0,1,17,-0.1935
0,1,18,-0.1052
0,1,19,0.0805
0,1,20,0.0000
0,1,22,-0.0950
0,1,25,0.0000
0,1,26,-0.1669
0,1,34,-0.5030
0,1,35,-0.4274
0,1,37,-0.1435
0,1,39,-0.2556
0,1,40,-0.3691
0,1,41,0.1060
0,1,43,-0.3557
0,1,45,-0.2402
0,1,46,-0.3332
0,1,54,-0.3461
0,1,55,-0.4895
0,1,56,-0.3276
0,1,57,-0.1050
0,1,58,-0.4880
0,1,61,-0.2657
0,1,62,-0.2000
0,1,63,-0.1800
0,1,64,-0.1810
0,1,67,-0.0990
0,1,68,-0.2560
0,1,72,-0.5500
0,1,73,-0.0877
0,1,75,-0.2550
0,1,78,-0.1680
0,1,80,-0.1440
0,1,81,-0.5140
0,2,2,0.0000
1,2,2,0.0000
1,2,3,-0.0144
0,2,4,-0.0650
1,2,4,-0.0650
0,2,5,0.1500
0,2,6,-0.0767
1,2,9,-0.1710
0,2,10,-0.1090
0,2,11,-0.1495
0,2,12,-0.1400
0,2,13,-0.1100
0,2,14,-0.0900
0,2,15,-0.1010
0,2,17,-0.0560
0,2,18,0.0170
0,2,19,0.2290
0,2,20,0.1160
0,2,22,0.0400
0,2,25,0.1470
0,2,30,-0.0310
0,2,34,-0.3560
0,2,35,-0.3500
1,2,37,0.0284
1,2,39,0.0310
0,2,40,-0.1000
0,2,41,0.2500
0,2,43,-0.1910
0,2,45,-0.2044
0,2,46,-0.2940
0,2,55,-0.3410
0,2,56,-0.3030
0,2,62,-0.0500
1,2,63,-0.0450
1,2,64,-0.0460
1,2,67,0.0360
0,2,72,-0.4500
1,2,81,-0.3790
1,3,3,0.0000
1,3,4,-0.1050
0,3,5,0.0600
0,3,6,-0.1500
0,3,7,-0.5700
0,3,9,-0.4500
1,3,9,-0.2110
0,3,10,-0.0600
0,3,11,-0.2220
0,3,12,-0.2090
0,3,15,-0.1410
0,3,16,-0.3800
0,3,17,-0.0960
0,3,18,-0.0230
0,3,20,0.0530
0,3,22,0.0000
0,3,25,0.1070
1,3,30,-0.0710
0,3,35,-0.3610
1,3,37,0.0862
1,3,39,-0.0090
0,3,40,-0.0500
0,3,41,0.1470
0,3,43,-0.2363
0,3,45,-0.1650
0,3,48,-0.4300
0,3,51,-0.9500
0,3,53,-0.0134
0,3,54,-0.4000
1,3,54,-0.3290
0,3,55,-0.3810
0,3,56,-0.3430
1,3,57,-0.0100
1,3,58,-0.3930
0,3,62,-0.0300
