493
int,int,int,float,float
0,1,1,4.258,1.508
0,1,2,4.539,1.482
0,1,3,4.190,1.492
0,1,4,4.707,1.459
0,1,5,4.766,1.093
0,1,6,5.047,1.418
0,1,8,5.084,1.451
0,1,9,4.763,1.458
0,1,10,4.664,1.436
0,1,11,6.011,1.360
0,1,12,2.974,1.773
0,1,13,2.529,1.949
0,1,14,1.706,2.090
0,1,15,2.893,1.805
0,1,17,2.841,1.813
0,1,18,3.258,1.772
0,1,19,2.866,1.830
0,1,20,4.650,1.504
0,1,22,4.286,1.482
0,1,25,2.980,1.810
0,1,26,2.790,1.830
0,1,34,3.844,1.480
0,1,35,7.915,1.307
0,1,37,4.957,1.486
0,1,39,6.114,1.445
0,1,40,4.922,1.446
0,1,41,3.830,1.510
0,1,43,3.971,1.472
0,1,45,3.844,1.480
0,1,46,3.813,1.482
0,1,54,4.267,1.461
0,1,55,4.646,1.454
0,1,56,4.166,1.453
0,1,57,4.669,1.461
0,1,58,4.329,1.451
0,1,61,4.845,1.424
0,1,62,4.456,1.444
0,1,63,4.481,1.471
0,1,64,4.518,1.469
0,1,67,4.188,1.459
0,1,68,4.217,1.479
0,1,72,2.956,1.801
0,1,73,2.608,1.839
0,1,75,2.547,1.858
0,1,78,4.593,1.465
0,1,80,4.373,1.477
0,1,81,4.512,1.441
0,2,2,9.505,1.333
1,2,2,5.310,1.430
1,2,3,4.565,1.468
0,2,4,9.538,1.297
1,2,4,5.657,1.415
0,2,5,5.170,1.083
0,2,6,5.520,1.373
1,2,9,6.385,1.360
0,2,10,6.329,1.362
0,2,11,6.283,1.350
0,2,12,3.390,1.720
0,2,13,3.413,1.854
0,2,14,2.062,2.025
0,2,15,3.896,1.720
0,2,17,3.247,1.773
0,2,18,3.789,1.728
0,2,19,3.052,1.811
0,2,20,4.593,1.465
0,2,22,4.926,1.448
0,2,25,3.750,1.742
0,2,30,8.166,1.331
0,2,34,5.207,1.407
0,2,35,10.343,1.250
1,2,37,5.007,1.449
1,2,39,6.164,1.368
0,2,40,6.110,1.370
0,2,41,3.746,1.505
0,2,43,4.928,1.420
0,2,45,4.725,1.430
0,2,46,7.466,1.325
0,2,55,6.164,1.368
0,2,56,6.246,1.365
0,2,62,7.105,1.336
1,2,63,6.030,1.400
1,2,64,5.754,1.411
1,2,67,4.685,1.432
0,2,72,4.179,1.700
1,2,81,6.357,1.361
1,3,3,4.418,1.489
1,3,4,5.135,1.438
0,3,5,4.650,1.101
0,3,6,5.801,1.355
0,3,7,12.950,1.222
0,3,9,10.077,1.290
1,3,9,6.273,1.364
0,3,10,5.829,1.369
0,3,11,6.570,1.340
0,3,12,3.449,1.715
0,3,15,3.536,1.748
0,3,16,4.735,1.665
0,3,17,2.888,1.808
0,3,18,3.394,1.760
0,3,20,3.298,1.530
0,3,22,4.593,1.465
0,3,25,3.164,1.792
1,3,30,4.481,1.471
0,3,35,11.012,1.237
1,3,37,4.488,1.457
1,3,39,5.978,1.375
0,3,40,6.110,1.370
0,3,41,4.286,1.482
0,3,43,4.928,1.420
0,3,45,4.531,1.440
0,3,48,5.412,1.398
0,3,51,8.562,1.290
0,3,53,7.637,1.320
0,3,54,10.333,1.280
1,3,54,2.771,1.563
0,3,55,4.886,1.422
0,3,56,4.907,1.421
1,3,57,5.492,1.422
1,3,58,5.163,1.409
0,3,62,7.568,1.322
1,3,63,5.468,1.423
1,3,64,5.288,1.431
0,3,67,8.217,1.304
0,3,74,5.204,1.639
0,3,75,4.191,1.710
1,3,78,5.705,1.413
1,3,80,6.719,1.375
0,4,4,15.206,1.200
0,4,5,5.726,1.065
0,4,6,7.193,1.328
0,4,7,14.916,1.176
0,4,9,15.589,1.172
1,4,9,7.041,1.338
0,4,10,6.824,1.345
0,4,15,4.330,1.690
0,4,20,5.178,1.436
0,4,22,5.400,1.426
0,4,30,10.227,1.282
1,4,37,5.445,1.424
0,4,42,16.582,1.160
0,4,43,6.947,1.341
1,4,63,5.633,1.416
1,4,64,5.492,1.422
0,5,19,2.254,1.485
0,5,20,4.852,1.093
0,5,22,5.191,1.082
0,5,30,5.176,1.086
0,5,37,5.306,1.084
0,5,41,3.256,1.144
0,5,57,5.633,1.076
0,5,63,5.531,1.080
0,5,64,5.506,1.080
0,5,78,5.506,1.080
0,5,80,5.633,1.076
0,6,6,4.088,1.449
0,6,8,5.059,1.450
0,6,9,4.491,1.395
0,6,10,5.982,1.410
0,6,15,4.757,1.661
0,6,17,5.779,1.608
0,6,18,5.326,1.630
0,6,19,4.661,1.660
0,6,20,5.623,1.433
0,6,21,7.794,0.972
0,6,22,4.556,1.433
0,6,24,7.403,0.981
0,6,25,5.243,1.630
0,6,26,5.481,1.618
0,6,29,7.839,0.973
0,6,30,9.359,1.271
0,6,33,7.143,0.986
0,6,37,5.614,1.376
0,6,39,4.629,1.388
0,6,40,4.609,1.389
0,6,41,6.754,1.342
0,6,43,3.937,1.426
0,6,45,4.321,1.404
0,6,54,5.117,1.365
0,6,55,4.772,1.381
0,6,57,7.128,1.330
0,6,58,4.792,1.380
0,6,63,7.324,1.324
0,6,64,6.664,1.345
0,7,17,8.770,1.500
0,7,46,9.329,1.235
0,7,74,9.129,1.490
0,8,8,3.264,1.420
0,8,9,4.581,1.342
0,8,10,3.909,1.378
0,8,12,3.371,1.761
0,8,15,4.060,1.652
0,8,17,3.901,1.663
0,8,19,4.254,1.700
0,8,20,5.107,1.456
0,8,22,4.223,1.457
0,8,23,6.490,1.019
0,8,25,4.629,1.660
0,8,26,4.027,1.699
0,8,34,3.775,1.386
0,8,39,3.435,1.408
0,8,40,3.710,1.390
0,8,43,3.977,1.374
0,8,45,4.267,1.358
0,8,46,5.519,1.301
0,8,55,4.229,1.360
0,8,56,3.995,1.373
0,9,9,7.256,1.243
1,9,9,3.808,1.384
0,9,10,4.480,1.347
0,9,12,3.635,1.739
0,9,15,3.791,1.671
0,9,18,4.465,1.626
0,9,19,3.687,1.741
0,9,20,4.401,1.447
0,9,25,5.379,1.619
0,9,27,6.230,1.026
0,9,34,3.223,1.423
0,9,35,5.095,1.366
1,9,37,5.529,1.393
1,9,39,4.685,1.337
0,9,40,4.382,1.352
0,9,41,5.650,1.388
0,9,45,4.857,1.329
0,9,53,7.291,1.242
0,9,54,4.991,1.323
0,9,55,3.825,1.383
0,9,56,4.602,1.341
1,9,57,6.824,1.345
0,9,62,4.749,1.334
1,9,63,6.824,1.345
1,9,64,5.458,1.396
0,9,67,6.752,1.258
1,9,78,6.644,1.351
1,9,81,3.909,1.378
0,10,10,3.977,1.374
0,10,13,3.110,1.878
0,10,14,1.967,2.029
0,10,15,3.593,1.686
0,10,17,3.930,1.661
0,10,20,4.240,1.456
0,10,22,4.970,1.418
0,10,25,3.820,1.714
0,10,26,3.651,1.727
0,10,28,6.663,1.015
0,10,34,3.960,1.375
0,10,35,4.898,1.375
0,10,37,5.482,1.395
0,10,39,4.382,1.352
0,10,40,3.841,1.382
0,10,41,7.466,1.325
0,10,45,3.524,1.402
0,10,63,6.137,1.369
0,10,64,5.952,1.376
0,11,20,6.339,1.348
0,11,22,5.296,1.389
0,11,25,6.019,1.583
0,11,26,6.204,1.575
0,11,37,6.511,1.342
0,11,40,4.187,1.440
0,12,15,2.978,2.031
0,12,18,2.808,2.051
0,12,19,2.838,2.050
0,12,20,2.859,1.751
0,12,22,3.056,1.750
0,12,25,3.063,2.023
0,12,26,2.448,2.100
